iter	Logloss
143	0.4375278025
144	0.4373593691
145	0.4372218409
146	0.4370858375
147	0.4369743479
148	0.4367898748
149	0.4366535346
150	0.436501031
151	0.4363859852
152	0.4362670097
153	0.4361307414
154	0.4360186486
155	0.4358645024
156	0.4357311473
157	0.435577403
158	0.4354280045
159	0.4353168598
160	0.4351881249
161	0.4351191714
162	0.4349469252
163	0.4348016995
164	0.4346680647
165	0.4344946319
166	0.4343496033
167	0.4342154993
168	0.4340885072
169	0.4339744522
170	0.4338681928
171	0.4337084445
172	0.4336233661
173	0.4334671373
174	0.4333383176
175	0.4331870275
176	0.4330928821
177	0.4329673531
178	0.4327897807
179	0.4326275385
180	0.4325615256
181	0.4324245905
182	0.4322603877
183	0.4321521845
184	0.4320327396
185	0.4318983063
186	0.4317996454
187	0.4316694537
188	0.431529371
189	0.431414454
190	0.4312902606
191	0.4311812744
192	0.4310927888
193	0.4309717918
194	0.4308432554
195	0.4307448791
196	0.4306238829
197	0.4304963886
198	0.4303767489
199	0.430265417
200	0.4301632734
201	0.4300065128
202	0.4298904801
203	0.4297728459
204	0.4296344705
205	0.4294903814
206	0.42935034
207	0.429214182
208	0.4291460459
209	0.4290781521
210	0.4289609937
211	0.4288240283
212	0.4286892863
213	0.4286299188
214	0.4284719176
215	0.4282965072
216	0.4282117279
217	0.4280679263
218	0.4280087246
219	0.4279078793
220	0.4278203713
221	0.4276661213
222	0.4274806023
223	0.4273961382
224	0.427262716
225	0.4271254125
226	0.4270333895
227	0.42693102
228	0.426760929
229	0.4266489371
230	0.4265160491
231	0.4264128238
232	0.4263530858
233	0.4263097862
234	0.4262177435
235	0.4261413945
236	0.4260010134
237	0.4259244814
238	0.425768581
239	0.4256354599
240	0.4254935215
241	0.4253943633
242	0.4252610229
243	0.4251830779
244	0.4250176384
245	0.4249172149
246	0.424811777
247	0.4246862392
248	0.4245687317
249	0.4244369382
250	0.4243222548
251	0.4242239484
252	0.4241275459
253	0.4240070043
254	0.4239182163
255	0.4238309571
256	0.4237290515
257	0.4235899692
258	0.423503184
259	0.4233672502
260	0.4233066603
261	0.4231241702
262	0.4230161373
263	0.4229172846
264	0.4227972234
265	0.4226827425
266	0.4225410885
267	0.4224043059
268	0.4223082641
269	0.4221576544
270	0.4220190156
271	0.4218623286
272	0.4217617613
273	0.4216150455
274	0.4215185632
275	0.4214320135
276	0.4213450184
277	0.4212073973
278	0.4210742313
279	0.4209709303
280	0.420893283
281	0.4207474895
282	0.420639826
283	0.4205284334
284	0.4204260659
285	0.4203507589
286	0.4201877043
287	0.4200379331
288	0.4199039476
289	0.4197777509
290	0.4196856138
291	0.4195504784
292	0.4194855529
293	0.4193675069
294	0.4192260422
295	0.4191092163
296	0.418991262
297	0.4188469357
298	0.4187055868
299	0.4185779637
300	0.4184680419
301	0.4184032251
302	0.4182583636
303	0.4181108912
304	0.4179678895
305	0.4178607607
306	0.4177545075
307	0.4176499422
308	0.4175597533
309	0.4174406782
310	0.4173253624
311	0.4172261565
312	0.4171672551
313	0.417073925
314	0.416942024
315	0.4168303485
316	0.4167267574
317	0.4166298531
318	0.4165369095
319	0.4164183883
